Future Card Buddyfight Battsu,TV,6191,"Game,",https://myanimelist.cdn-dena.com/images/anime/6/84792.jpg
Future Card Buddyfight DDD,TV,5186,"Game,",https://myanimelist.cdn-dena.com/images/anime/4/78622.jpg
Future Card Buddyfight Recap,Special,6091,"Game,",https://myanimelist.cdn-dena.com/images/anime/10/74396.jpg
Future GPX Cyber Formula,TV,1574,"Adventure,Sci-Fi,Shounen,Sports,",https://myanimelist.cdn-dena.com/images/anime/4/11768.jpg
Future GPX Cyber Formula 11,OVA,1637,"Drama,Sci-Fi,Shounen,Sports,",https://myanimelist.cdn-dena.com/images/anime/9/72925.jpg
Future GPX Cyber Formula Graffiti,OVA,6092,"Action,Sci-Fi,Sports,",https://myanimelist.cdn-dena.com/images/anime/3/31699.jpg
Future GPX Cyber Formula Saga,OVA,1347,"Drama,Sci-Fi,Shounen,Sports,",https://myanimelist.cdn-dena.com/images/anime/7/4087.jpg
Future GPX Cyber Formula Sin,OVA,1085,"Drama,Sci-Fi,Shounen,Sports,",https://myanimelist.cdn-dena.com/images/anime/6/29342.jpg
Future GPX Cyber Formula Zero,OVA,1174,"Drama,Sci-Fi,Shounen,Sports,",https://myanimelist.cdn-dena.com/images/anime/7/4085.jpg
Future GPX Cyber Formula: Early Days Renewal,OVA,5104,"Drama,Sci-Fi,Shounen,Sports,",https://myanimelist.cdn-dena.com/images/anime/3/4090.jpg
Future War 198X-nen,Movie,6012,"Military,Drama,",https://myanimelist.cdn-dena.com/images/anime/11/23491.jpg
Fuujin Monogatari,TV,2230,"Slice of Life,Fantasy,Supernatural,School,Drama,",https://myanimelist.cdn-dena.com/images/anime/4/50349.jpg
Fuuka,TV,4334,"Drama,Ecchi,Music,Romance,School,Shounen,",https://myanimelist.cdn-dena.com/images/anime/8/83735.jpg
Fuuma no Kojirou: Fuuma Hanran-hen,OVA,4043,"Action,",https://myanimelist.cdn-dena.com/images/anime/13/9385.jpg
Fuuma no Kojirou: Seiken Sensou-hen,OVA,4000,"Action,",https://myanimelist.cdn-dena.com/images/anime/4/9384.jpg
